Classifier,Fold,Training Time (s),Testing Time (s),Total Time (s)
Ridor-like,1,0.8062827587127686,0.0894308090209961,0.8957135677337646
Ridor-like,2,0.9355120658874512,0.11864614486694336,1.0541582107543945
