Classifier,Class,Fold,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Matthews Correlation Coefficient,Cohen Kappa Score,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
Ridor-like,0,1.5,0.9999542972052502,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,0.8708974123001099,0.10403847694396973
Ridor-like,1,1.5,0.994767032612084,0.8637756740987432,0.9250090187590188,0.8928369347195824,0.9607377038914713,0.8909737210502215,0.8901596318218412,0.9250090187588392,0.9964663890239192,0.003533610976076211,0.07499098124096681,0.8708974123001099,0.10403847694396973
Ridor-like,2,1.5,0.9999542972052502,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,0.8708974123001099,0.10403847694396973
Ridor-like,3,1.5,0.9999085954548732,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999333333,0.8708974123001099,0.10403847694396973
Ridor-like,4,1.5,0.9995658260608091,0.9773327464788732,0.952455590386625,0.9647279549718575,0.976158811697005,0.9645936737319498,0.9645095622319402,0.9524555903859362,0.9998620330073805,0.0001379669926149818,0.04754440961334029,0.8708974123001099,0.10403847694396973
Ridor-like,5,1.5,0.9994287187209325,0.3227272727272727,0.3625,0.3412698412698413,0.6810899775308479,0.3416565556289806,0.34098656816478323,0.36249999999621874,0.9996799550616913,0.0003200449383042147,0.6374999999925313,0.8708974123001099,0.10403847694396973
Ridor-like,6,1.5,0.9859692023256593,0.9224608282985685,0.9930983847283407,0.9563421324093127,0.9888876650031275,0.9490107558769919,0.947999610844723,0.9930983847283112,0.9846769452779092,0.015323054722085505,0.006901615271659122,0.8708974123001099,0.10403847694396973
Ridor-like,7,1.5,0.9994744225600549,0.9977272727272728,0.9526648751539581,0.9746183224747746,0.9763208886325525,0.9746477771823991,0.9743529816549179,0.9526648751535465,0.9999769021111424,2.3097888852958734e-05,0.04733512484602151,0.8708974123001099,0.10403847694396973
Ridor-like,8,1.5,0.9998400396961895,0.9997334754797441,0.998428878367218,0.9990807366242134,0.999201940433484,0.9989933967875224,0.9989931322678822,0.9984288783671658,0.9999750024997451,2.499750024997488e-05,0.0015711216327819052,0.8708974123001099,0.10403847694396973
Ridor-like,9,1.5,0.999817188821001,1.0,0.997909884232812,0.9989538486959905,0.998954942116406,0.9988543472758283,0.9988536909515473,0.9979098842327598,0.9999999999999951,0.0,0.0020901157671878575,0.8708974123001099,0.10403847694396973
Ridor-like,10,1.5,0.9962523060794106,0.998967316160343,0.9592926670461805,0.9784448303646414,0.9795960708794775,0.9768041133534293,0.9763953025379131,0.9592926670461319,0.9998994747127696,0.00010052528722549208,0.040707332953817434,0.8708974123001099,0.10403847694396973
Ridor-like,11,1.5,0.9995886706697612,0.25,0.1,0.14285714285714285,0.5499657085370315,0.15795968948044278,0.14273314540297755,0.099999999998,0.9999314170740586,6.858292593689445e-05,0.8999999999874545,0.8708974123001099,0.10403847694396973
Ridor-like,12,1.5,0.9997943369014397,0.9996930632289749,0.9976435372136127,0.9986670786070531,0.998809422927794,0.9985563601181717,0.9985556406512726,0.9976435372135535,0.9999753086419705,2.4691358024691238e-05,0.00235646278638717,0.8708974123001099,0.10403847694396973
Ridor-like,13,1.5,0.9996800825254971,0.9988003838771593,0.9978291926223934,0.998314025787028,0.9988514586205208,0.9981377643086753,0.9981372996185797,0.9978291926223453,0.9998737246186433,0.00012627538135165104,0.0021708073776064624,0.8708974123001099,0.10403847694396973
Ridor-like,14,1.5,0.9980576526327759,0.9902535263881864,0.9928536858081205,0.991528339362985,0.9957952763886233,0.9904475411062594,0.9904314472829241,0.9928536858080811,0.9987368669691209,0.0012631330308740178,0.00714631419187917,0.8708974123001099,0.10403847694396973
Ridor-like,15,1.5,0.9996343818194928,0.9895208083233293,0.9568723702664796,0.9728331802581331,0.9784016727506437,0.9728333710095042,0.9726492304774474,0.9568723702658235,0.9999309752348031,6.902476519237697e-05,0.04312762973349165,0.8708974123001099,0.10403847694396973
