Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Matthews Correlation Coefficient,Cohen Kappa,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RUSBoost,1,0,0.999954298249623,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,173.35264229774475,0.88388991355896
RUSBoost,1,1,0.9864265801380193,0.8096514745308311,0.571969696969697,0.6703662597114317,0.6741133521279311,0.6636461368529912,0.5719696969695885,0.9966749402894161,0.003325059710579294,0.42803030303022194,173.35264229774475,0.88388991355896
RUSBoost,1,2,0.999954298249623,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,173.35264229774475,0.88388991355896
RUSBoost,1,3,0.9998628947488689,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999666667,173.35264229774475,0.88388991355896
RUSBoost,1,4,0.9996800877473607,0.9921259842519685,0.9545454545454546,0.972972972972973,0.9729956165034235,0.9728121248547346,0.9545454545447315,0.9999540208745185,4.597912547703322e-05,0.045454545454511025,173.35264229774475,0.88388991355896
RUSBoost,1,5,0.9996343859969837,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999875,173.35264229774475,0.88388991355896
RUSBoost,1,6,0.9913623691787395,1.0,0.9444933920704845,0.9714544630720435,0.9669175469297453,0.9663706321041275,0.9444933920704568,0.9999999999999947,0.0,0.055506607929513785,173.35264229774475,0.88388991355896
RUSBoost,1,7,0.997623508980394,0.825,0.9871794871794872,0.8988326848249028,0.9013427899905203,0.8976400606200511,0.9871794871790653,0.9977364068924055,0.002263593107589956,0.012820512820507342,173.35264229774475,0.88388991355896
RUSBoost,1,8,0.9943786847036241,0.9417192812044682,0.9984552008238929,0.9692576855786054,0.9666678384193611,0.9661671133006846,0.9984552008238414,0.9939816440142385,0.006018355985756528,0.0015447991761070264,173.35264229774475,0.88388991355896
RUSBoost,1,9,0.9134865865362644,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999951,0.0,0.9999999999999472,173.35264229774475,0.88388991355896
