Classifier,Class,Fold,Accuracy,Precision,Recall,F1 Score,Matthews Correlation Coefficient,Cohen Kappa,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RUSBoost,0,1.5,0.9999542972052502,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,167.69888579845428,0.9417604207992554
RUSBoost,1,1.5,0.9863120103615142,0.8823032147428931,0.49630230880230886,0.6271941491394624,0.6515307744944727,0.6208622064080835,0.4963023088022129,0.998103562959077,0.0018964370409183884,0.5036976911975932,167.69888579845428,0.9417604207992554
RUSBoost,2,1.5,0.9999085933661278,0.0,0.0,0.0,-3.231971028046722e-05,-3.0471082942296057e-05,0.0,0.9999542940719366,4.570592805886903e-05,0.9999999999,167.69888579845428,0.9417604207992554
RUSBoost,3,1.5,0.9999085954548732,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999333333,167.69888579845428,0.9417604207992554
RUSBoost,4,1.5,0.9996115246780679,0.9666512274201019,0.9738244514106583,0.9697079629965537,0.9697809002552159,0.9695125793895669,0.9738244514099543,0.9997699710997828,0.00023002890021263576,0.0261755485893221,167.69888579845428,0.9417604207992554
RUSBoost,5,1.5,0.9996572295615631,0.5,0.15,0.23076923076923078,0.2738174614484714,0.23071242703425,0.1499999999985,0.9999999999999956,0.0,0.84999999999025,167.69888579845428,0.9417604207992554
RUSBoost,6,1.5,0.918830179104909,0.5,0.4722466960352423,0.48572723153602176,0.4820184564708838,0.4831396216275609,0.4722466960352284,0.9999729992439735,2.7000756021168448e-05,0.527753303964742,167.69888579845428,0.9417604207992554
RUSBoost,7,1.5,0.9983090122598497,0.8925,0.9652054641137611,0.9251872675225835,0.9262071800331051,0.9243369689711476,0.9652054641133443,0.9986603608523249,0.0013396391476705486,0.03479453588622381,167.69888579845428,0.9417604207992554
RUSBoost,8,1.5,0.9957268194998925,0.9560774829258856,0.9973639156409135,0.9762210655953983,0.97417618322529,0.9738750097889185,0.9973639156408611,0.9955659644928683,0.004434035507126832,0.0026360843590864276,167.69888579845428,0.9417604207992554
RUSBoost,9,1.5,0.9125248289171267,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999951,0.0,0.9999999999999477,167.69888579845428,0.9417604207992554
RUSBoost,10,1.5,0.9558976552746212,0.7826354679802956,0.6923346135531445,0.7340663936122102,0.7121670949808565,0.7102757110755769,0.6923346135531094,0.9822506033789171,0.01774939662107795,0.30766538644684005,167.69888579845428,0.9417604207992554
RUSBoost,11,1.5,0.9011470606714548,0.012488874054294614,0.5454545454545454,0.020034785671825806,0.03812768169220792,0.01942330094972461,0.5454545454441322,0.9013527810477282,0.09864721895226725,0.45454545454132234,167.69888579845428,0.9417604207992554
RUSBoost,12,1.5,0.947190917265879,0.4995291902071563,0.3048850574712644,0.37865810135617417,0.3838162619974507,0.37087412344650417,0.30488505747124683,0.9999751737835105,2.4826216484607624e-05,0.6951149425286938,167.69888579845428,0.9417604207992554
RUSBoost,13,1.5,0.7448607138897478,0.3319509108087423,0.9961300926792355,0.48043339894477244,0.48381904416613575,0.38962808656840753,0.9961300926791874,0.7186230613781546,0.2813769386218405,0.0038699073207643557,167.69888579845428,0.9417604207992554
RUSBoost,14,1.5,0.9393968168939737,0.5,0.47925060435132955,0.4894054721250771,0.48822097337631293,0.48808226732640125,0.4792506043513102,0.9999999999999949,0.0,0.52074939564865,167.69888579845428,0.9417604207992554
RUSBoost,15,1.5,0.9896025384774065,0.15625,0.4891304347826087,0.23684210526315788,0.27445527343136356,0.23430195732510561,0.4891304347822543,0.9931699015729878,0.006830098427007604,0.510869565217061,167.69888579845428,0.9417604207992554
RUSBoost,16,1.5,0.99405860952884,0.042105263157894736,0.05194805194805195,0.046511627906976744,0.04400215058565018,0.043921800020836954,0.051948051947984485,0.9974773387804933,0.0025226612195022287,0.9480519480507489,167.69888579845428,0.9417604207992554
RUSBoost,17,1.5,0.9996343765976292,0.0,0.0,0.0,-8.552164319005595e-05,-7.110497125328852e-05,0.0,0.9998400219398438,0.0001599780601517499,0.9999999999678572,167.69888579845428,0.9417604207992554
RUSBoost,18,1.5,0.9992915904936015,1.0,0.5441176470588235,0.5810810810810811,0.6484168652244482,0.5809754916254405,0.5441176470565199,0.9999999999999956,0.0,0.4558823529398356,167.69888579845428,0.9417604207992554
RUSBoost,19,1.5,0.9679625017138156,1.0,0.26140962055837,0.38679795402580636,0.4743993870600275,0.37826524333481887,0.26140962055834255,0.9999999999999953,0.0,0.7385903794415521,167.69888579845428,0.9417604207992554
RUSBoost,20,1.5,0.9994058532245258,0.9913823214135161,0.997936708551777,0.9946349714455065,0.9943342404295481,0.9943204983269656,0.9979367085516946,0.9994922080638036,0.0005077919361916061,0.0020632914482229445,167.69888579845428,0.9417604207992554
RUSBoost,21,1.5,0.947418943517566,0.9986338797814207,0.24267116164126423,0.3904594522369089,0.478897986965003,0.3734584452041719,0.24267116164124825,0.9999754589182244,2.4541081770884342e-05,0.7573288383586858,167.69888579845428,0.9417604207992554
RUSBoost,22,1.5,0.9896484605904281,0.5901138640473049,0.43594104308390025,0.4189231707077262,0.45943655408111206,0.4146318556420611,0.43594104308360093,0.9933514330545011,0.006648566945494358,0.5640589569157117,167.69888579845428,0.9417604207992554
