Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Matthews Correlation Coefficient,Cohen Kappa,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RUSBoost,1,0,0.2531876970887985,6.119202056051891e-05,1.0,0.00012237655265251178,0.003935857993918975,3.098147636337867e-05,0.9999999999,0.2531535648994504,0.746846435100545,0.0,2.5508108139038086,0.8598966598510742
RUSBoost,1,1,0.9799369315844797,0.8201438848920863,0.2159090909090909,0.34182908545727136,0.4147618151847673,0.33514234616198424,0.21590909090905,0.9988292043272562,0.0011707956727391882,0.7840909090907605,2.5508108139038086,0.8598966598510742
RUSBoost,1,2,0.999954298249623,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,2.5508108139038086,0.8598966598510742
RUSBoost,1,3,0.9998171929984918,0.0,0.0,0.0,-7.916498968773856e-05,-6.855732535004933e-05,0.0,0.9999542919828093,4.5708017186214254e-05,0.9999999999666667,2.5508108139038086,0.8598966598510742
RUSBoost,1,4,0.9939673689502307,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999954,0.0,0.9999999999992425,2.5508108139038086,0.8598966598510742
RUSBoost,1,5,0.9996343859969837,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999875,2.5508108139038086,0.8598966598510742
RUSBoost,1,6,0.9956583337141812,0.9811046511627907,0.9911894273127754,0.9861212563915267,0.9835660636983404,0.9835479959504245,0.9911894273127462,0.996481922494041,0.003518077505953651,0.00881057268722441,2.5508108139038086,0.8598966598510742
RUSBoost,1,7,0.9893057904117728,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999954,0.0,0.9999999999995727,2.5508108139038086,0.8598966598510742
RUSBoost,1,8,0.9112472007677894,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999951,0.0,0.9999999999999485,2.5508108139038086,0.8598966598510742
RUSBoost,1,9,0.9997257894977377,1.0,0.9968304278922345,0.9984126984126984,0.9982641379024922,0.9982626312961552,0.9968304278921819,0.9999999999999951,0.0,0.003169572107765284,2.5508108139038086,0.8598966598510742
RUSBoost,1,10,0.9089164114985604,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999951,0.0,0.9999999999999498,2.5508108139038086,0.8598966598510742
RUSBoost,1,11,0.9997714912481148,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.99999999998,2.5508108139038086,0.8598966598510742
RUSBoost,1,12,0.9254604451350487,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999951,0.0,0.9999999999999387,2.5508108139038086,0.8598966598510742
RUSBoost,1,13,0.9048032539646268,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999995,0.0,0.9999999999999519,2.5508108139038086,0.8598966598510742
RUSBoost,1,14,0.8865682555641881,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999949,0.0,0.9999999999999597,2.5508108139038086,0.8598966598510742
RUSBoost,1,15,0.9929162286915589,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999954,0.0,0.999999999999355,2.5508108139038086,0.8598966598510742
RUSBoost,1,16,0.9952470179607878,0.12903225806451613,0.04938271604938271,0.07142857142857142,0.0777334634512124,0.06952180401938124,0.04938271604932175,0.9987614678899037,0.0012385321100917375,0.9506172839494437,2.5508108139038086,0.8598966598510742
RUSBoost,1,17,0.9996800877473607,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999857143,2.5508108139038086,0.8598966598510742
RUSBoost,1,18,0.9989488597413281,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999956523,2.5508108139038086,0.8598966598510742
RUSBoost,1,19,0.9567661441433207,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999953,0.0,0.9999999999998942,2.5508108139038086,0.8598966598510742
RUSBoost,1,20,0.9438782505369956,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999952,0.0,0.9999999999999185,2.5508108139038086,0.8598966598510742
RUSBoost,1,21,0.9300306201727526,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999952,0.0,0.9999999999999346,2.5508108139038086,0.8598966598510742
RUSBoost,1,22,0.9935103514464604,0.5806451612903226,0.12244897959183673,0.20224719101123595,0.2646369319800845,0.2003760451130605,0.12244897959175345,0.9994018588386814,0.0005981411613140674,0.8775510204075664,2.5508108139038086,0.8598966598510742
RUSBoost,1,23,0.978017458068644,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999954,0.0,0.9999999999997922,2.5508108139038086,0.8598966598510742
RUSBoost,1,24,0.9838672821169051,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999954,0.0,0.9999999999997168,2.5508108139038086,0.8598966598510742
