Classifier,Fold,Training Time (s),Testing Time (s),Total Time (s)
RUSBoost,1,2.5508108139038086,0.8598966598510742,3.410707473754883
RUSBoost,2,2.801668882369995,0.9504556655883789,3.752124547958374
