Classifier,Fold,Training Time (s),Testing Time (s),Total Time (s)
RidgeClassifier,1,0.03236103057861328,0.006203889846801758,0.03856492042541504
RidgeClassifier,2,0.03365182876586914,0.0,0.03365182876586914
