Classifier,Class,Fold,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Matthews Correlation Coefficient,Cohen Kappa Score,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RidgeClassifier,0,1.5,0.9999542972052502,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,0.03300642967224121,0.003101944923400879
RidgeClassifier,1,1.5,0.9852151641749745,0.6481686935495341,0.8165584415584415,0.7225218539770042,0.9029315567724804,0.7201509200086422,0.7150298766460604,0.8165584415582832,0.9893046719865146,0.010695328013480786,0.183441558441523,0.03300642967224121,0.003101944923400879
RidgeClassifier,2,1.5,0.9999542972052502,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,0.03300642967224121,0.003101944923400879
RidgeClassifier,3,1.5,0.9999085954548732,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999333333,0.03300642967224121,0.003101944923400879
RidgeClassifier,4,1.5,0.9909509009469286,0.15544871794871795,0.36742424242424243,0.21846846846846846,0.6812292410323154,0.2364794383151494,0.2160157570029243,0.3674242424239641,0.995034239640384,0.0049657603596115285,0.6325757575753124,0.03300642967224121,0.003101944923400879
RidgeClassifier,5,1.5,0.9995886738028794,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.99999999998875,0.03300642967224121,0.003101944923400879
RidgeClassifier,6,1.5,0.9991773476057588,0.9958742680384081,0.9988139882473285,0.9973418807036687,0.9990285538888878,0.9968568226147577,0.996855248645545,0.998813988247299,0.9992431195304418,0.0007568804695529054,0.0011860117526714831,0.03300642967224121,0.003101944923400879
RidgeClassifier,7,1.5,0.9983775481754515,0.8987452678910912,0.9547549733139253,0.9256798245614035,0.9768001034453071,0.9254069516516974,0.9248606620211648,0.9547549733135128,0.9988452335766844,0.0011547664233110767,0.04524502668605522,0.03300642967224121,0.003101944923400879
RidgeClassifier,8,1.5,0.9976463003263372,0.9756458778355852,0.9978963970040657,0.9866445504286947,0.9977591191051428,0.9854301283402791,0.985354130656442,0.9978963970040134,0.997621841206215,0.0023781587937800716,0.0021036029959341663,0.03300642967224121,0.003101944923400879
RidgeClassifier,9,1.5,0.9998857414465665,1.0,0.9987022772597534,0.999350569029462,0.9993511386298768,0.9992882716004222,0.9992879290455936,0.9987022772597012,0.9999999999999951,0.0,0.0012977227402465367,0.03300642967224121,0.003101944923400879
RidgeClassifier,10,1.5,0.9412489837209028,0.6080440850294491,0.9865964361503795,0.7522799897163273,0.9616711277066095,0.7483718938746969,0.7210855073728151,0.9865964361503297,0.9367458192628346,0.06325418073716042,0.013403563849619781,0.03300642967224121,0.003101944923400879
RidgeClassifier,11,1.5,0.9996343745088838,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999854545,0.03300642967224121,0.003101944923400879
RidgeClassifier,12,1.5,0.9462763276964221,0.6773016667512979,0.5782252267489798,0.6237372686099009,0.7776249406637122,0.5972349110671621,0.5950115730567314,0.5782252267489456,0.97702465457844,0.022975345421555174,0.42177477325099505,0.03300642967224121,0.003101944923400879
RidgeClassifier,13,1.5,0.9425744514515819,0.622923035103311,0.9987935309358941,0.7672988537130636,0.9677403443453685,0.7632863497943302,0.7365368118596745,0.9987935309358459,0.9366871577548384,0.06331284224515672,0.0012064690641058887,0.03300642967224121,0.003101944923400879
RidgeClassifier,14,1.5,0.9419574663333921,0.6647878901901805,0.9986110272502623,0.7981879657935564,0.9666053667094083,0.787525869377071,0.7658772106857501,0.9986110272502225,0.9345997061685498,0.06540029383144516,0.0013889727497376405,0.03300642967224121,0.003101944923400879
RidgeClassifier,15,1.5,0.9925504371451797,0.22014925373134328,0.427536231884058,0.29064039408866993,0.7120318366617786,0.3049457791910399,0.28883707870323094,0.4275362318837482,0.9965274414394948,0.00347255856050069,0.572463768115567,0.03300642967224121,0.003101944923400879
RidgeClassifier,16,1.5,0.9963894813035141,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999954,0.0,0.9999999999987333,0.03300642967224121,0.003101944923400879
RidgeClassifier,17,1.5,0.9998857445796847,1.0,0.4642857142857143,0.6333333333333333,0.7321428571428572,0.6808422218229453,0.6332847794651973,0.4642857142701531,0.9999999999999956,0.0,0.5357142856977041,0.03300642967224121,0.003101944923400879
RidgeClassifier,18,1.5,0.9986974646055817,0.25,0.043478260869565216,0.07407407407407407,0.5217162555148449,0.10410226730489917,0.07394137855716959,0.04347826086937619,0.99995425016012,4.574983987556023e-05,0.9565217391269794,0.03300642967224121,0.003101944923400879
RidgeClassifier,19,1.5,0.9564452355591033,0.15625,0.002642706131078224,0.005197505197505198,0.5011899940973041,0.017906970637503638,0.004484888851885804,0.002642706131077945,0.9997372820635253,0.00026271793647002505,0.9973572938688167,0.03300642967224121,0.003101944923400879
RidgeClassifier,20,1.5,0.9444939698754448,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999952,0.0,0.9999999999999176,0.03300642967224121,0.003101944923400879
RidgeClassifier,21,1.5,0.9451337964694688,0.9428253295778145,0.22289722017655483,0.3605539157443438,0.6109452863695812,0.44388940956897993,0.34312098890213233,0.22289722017654012,0.9989933525626027,0.0010066474373924997,0.777102779823394,0.03300642967224121,0.003101944923400879
RidgeClassifier,22,1.5,0.993921537697636,0.7380952380952381,0.12755102040816327,0.21691583610188261,0.5636374818620025,0.30443768587879466,0.2154307856201883,0.1275510204080753,0.9997239433158369,0.0002760566841584686,0.8724489795912374,0.03300642967224121,0.003101944923400879
RidgeClassifier,23,1.5,0.983455576812486,0.5705165327193886,0.998960498960499,0.7262227456177546,0.9910339877980066,0.748488275933602,0.7183482770691807,0.9989604989602912,0.9831074766355095,0.016892523364485906,0.0010395010395008234,0.03300642967224121,0.003101944923400879
RidgeClassifier,24,1.5,0.9832499116251802,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999954,0.0,0.9999999999997269,0.03300642967224121,0.003101944923400879
RidgeClassifier,25,1.5,0.9988345803004401,0.9460252890100204,0.9964786555377568,0.9705967045272756,0.9976800950484215,0.9703433396365126,0.9700026105023727,0.9964786555375205,0.9988815345590816,0.0011184654409138518,0.003521344462242379,0.03300642967224121,0.003101944923400879
RidgeClassifier,26,1.5,0.9973720846022114,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999954,0.0,0.9999999999982501,0.03300642967224121,0.003101944923400879
RidgeClassifier,27,1.5,0.9982632885776455,0.75,0.04019933554817276,0.07627627627627628,0.5200882193150489,0.17319246238393693,0.07611566980194534,0.04019933554806408,0.9999771030819207,2.2896918074827026e-05,0.9598006644493444,0.03300642967224121,0.003101944923400879
RidgeClassifier,28,1.5,0.9999771491248115,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.9999999999999956,0.0,0.49999999995,0.03300642967224121,0.003101944923400879
RidgeClassifier,29,1.5,0.9981947411739434,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999954,0.0,0.9999999999974647,0.03300642967224121,0.003101944923400879
RidgeClassifier,30,1.5,0.9999542972052502,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,0.03300642967224121,0.003101944923400879
RidgeClassifier,31,1.5,0.9999542961608775,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.9999999999999956,0.0,0.499999999975,0.03300642967224121,0.003101944923400879
RidgeClassifier,32,1.5,0.9992459064975607,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999937971,0.03300642967224121,0.003101944923400879
RidgeClassifier,33,1.5,0.9998857435353119,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999583333,0.03300642967224121,0.003101944923400879
