Classifier,Class,Fold,Accuracy,Precision,Recall,F1 Score,Matthews Correlation Coefficient,Cohen Kappa,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RUSBoost,0.0,1.5,0.9560669456066946,0.5972222222222222,0.31666666666666665,0.40476190476190477,0.4092727270593777,0.38384352043699976,0.31666666666377774,0.9868033780269992,0.013196621972562151,0.6833333333270555,0.38245105743408203,0.01402902603149414
RUSBoost,1.0,1.5,0.8640167364016736,0.5253968253968254,0.7308333333333333,0.5516290726817042,0.5307102165353879,0.4866903551784026,0.7308333333303649,0.8785590089106969,0.121440991088837,0.26916666666555183,0.38245105743408203,0.01402902603149414
RUSBoost,2.0,1.5,0.8891213389121339,0.653623188405797,0.8097222222222222,0.7223698781838317,0.6607797698740783,0.6540760073399778,0.8097222222203151,0.9056105268606489,0.09438947313884216,0.1902777777773237,0.38245105743408203,0.01402902603149414
RUSBoost,3.0,1.5,0.8535564853556485,0.5845588235294117,0.7180735930735931,0.6352351916376306,0.5575072912674159,0.5460176442488802,0.7180735930719289,0.8824417545225227,0.11755824547696711,0.2819264069257443,0.38245105743408203,0.01402902603149414
RUSBoost,4.0,1.5,0.8347280334728033,0.9817661241711875,0.6793212539545586,0.8022011156339515,0.7030498349367322,0.6688096077955632,0.679321253953981,0.9877264957256784,0.01227350427349422,0.32067874604517055,0.38245105743408203,0.01402902603149414
