Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Matthews Correlation Coefficient,Cohen Kappa,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RUSBoost,1,0.0,0.9456066945606695,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.35711420693803386,0.3531126379346241,0.33333333333055554,0.9779735682815075,0.02202643171805197,0.6666666666611111,0.3842473030090332,0.01628398895263672
RUSBoost,1,1.0,0.9330543933054394,0.7222222222222222,0.5416666666666666,0.6190476190476191,0.5904274578288243,0.5831698277741444,0.5416666666644098,0.9767441860460574,0.023255813953477558,0.4583333333314236,0.3842473030090332,0.01628398895263672
RUSBoost,1,2.0,0.8786610878661087,0.6333333333333333,0.8444444444444444,0.7238095238095238,0.659094271993352,0.6480832698654481,0.8444444444425678,0.886597938143873,0.11340206185561165,0.15555555555520986,0.3842473030090332,0.01628398895263672
RUSBoost,1,3.0,0.8410041841004184,0.5441176470588235,0.8409090909090909,0.6607142857142857,0.5857791946844737,0.5630292532717475,0.8409090909071797,0.8410256410252098,0.15897435897427745,0.15909090909054752,0.3842473030090332,0.01628398895263672
RUSBoost,1,4.0,0.8577405857740585,0.9761904761904762,0.7192982456140351,0.8282828282828283,0.7357689801363366,0.711537096201633,0.7192982456134042,0.9839999999992128,0.015999999999987198,0.2807017543857187,0.3842473030090332,0.01628398895263672
RUSBoost,2,0.0,0.9665271966527197,0.75,0.3,0.42857142857142855,0.46143124718072154,0.4145744029393754,0.299999999997,0.995633187772491,0.004366812227072329,0.699999999993,0.38065481185913086,0.011774063110351562
RUSBoost,2,1.0,0.7949790794979079,0.32857142857142857,0.92,0.4842105263157895,0.4709929752419515,0.3902108825826608,0.9199999999963201,0.7803738317753364,0.21962616822419645,0.07999999999968001,0.38065481185913086,0.011774063110351562
RUSBoost,2,2.0,0.899581589958159,0.6739130434782609,0.775,0.7209302325581395,0.6624652677548044,0.6600687448145075,0.7749999999980625,0.9246231155774248,0.07537688442207267,0.22499999999943748,0.38065481185913086,0.011774063110351562
RUSBoost,2,3.0,0.8661087866108786,0.625,0.5952380952380952,0.6097560975609756,0.5292353878503581,0.5290060352260131,0.595238095236678,0.9238578680198357,0.07614213197965679,0.40476190476094104,0.38065481185913086,0.011774063110351562
RUSBoost,2,4.0,0.8117154811715481,0.9873417721518988,0.639344262295082,0.7761194029850746,0.6703306897371278,0.6260821193894934,0.6393442622945579,0.991452991452144,0.008547008547001241,0.3606557377046224,0.38065481185913086,0.011774063110351562
