Classifier,Fold,Training Time (s),Testing Time (s),Total Time (s)
RUSBoost,1,0.3842473030090332,0.01628398895263672,0.4005312919616699
RUSBoost,2,0.38065481185913086,0.011774063110351562,0.3924288749694824
