Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Matthews Correlation Coefficient,Cohen Kappa,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RotationForest,1,0.0,0.9372384937238494,0.4,0.5,0.4444444444444444,0.41449981989412166,0.41161989167897584,0.49999999999583333,0.960352422907066,0.03964757709249355,0.49999999999583333,0.3109745979309082,0.0
RotationForest,1,1.0,0.9456066945606695,0.7619047619047619,0.6666666666666666,0.7111111111111111,0.6830859280532414,0.681235251872371,0.666666666663889,0.9767441860460574,0.023255813953477558,0.3333333333319445,0.3109745979309082,0.0
RotationForest,1,2.0,0.9163179916317992,0.7906976744186046,0.7555555555555555,0.7727272727272727,0.7217576881792984,0.7214776832537,0.7555555555538765,0.953608247422189,0.04639175257729568,0.24444444444390123,0.3109745979309082,0.0
RotationForest,1,3.0,0.895397489539749,0.7021276595744681,0.75,0.7252747252747253,0.6613101218349199,0.6607619372054732,0.7499999999982955,0.9282051282046523,0.07179487179483499,0.24999999999943182,0.3109745979309082,0.0
RotationForest,1,4.0,0.9372384937238494,0.9380530973451328,0.9298245614035088,0.933920704845815,0.8741927200722146,0.8741619572466566,0.9298245614026931,0.9439999999992448,0.0559999999999552,0.07017543859642968,0.3109745979309082,0.0
RotationForest,2,0.0,0.9707112970711297,0.6363636363636364,0.7,0.6666666666666666,0.6521950086658751,0.6513857053552823,0.699999999993,0.982532751091274,0.017467248908289316,0.299999999997,0.0847012996673584,0.0
RotationForest,2,1.0,0.9246861924686193,0.6129032258064516,0.76,0.6785714285714286,0.6411961562904017,0.6364711847219875,0.7599999999969601,0.9439252336444188,0.056074766355113985,0.23999999999904,0.0847012996673584,0.0
RotationForest,2,2.0,0.9372384937238494,0.8378378378378378,0.775,0.8051948051948052,0.7686849350823791,0.7678559865311144,0.7749999999980625,0.9698492462306685,0.030150753768829072,0.22499999999943748,0.0847012996673584,0.0
RotationForest,2,3.0,0.9414225941422594,0.868421052631579,0.7857142857142857,0.825,0.791356365146025,0.7899296835760924,0.785714285712415,0.9746192893396068,0.025380710659885595,0.21428571428520407,0.0847012996673584,0.0
RotationForest,2,4.0,0.9581589958158996,0.9590163934426229,0.9590163934426229,0.9590163934426229,0.9162813507075802,0.9162813507075802,0.9590163934418369,0.9572649572641391,0.04273504273500621,0.040983606557343455,0.0847012996673584,0.0
