Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Matthews Correlation Coefficient,Cohen Kappa,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RUSBoost,1,0.0,0.9539748953974896,0.5263157894736842,0.8333333333333334,0.6451612903225806,0.6407136804635685,0.6218898317273119,0.8333333333263889,0.960352422907066,0.03964757709249355,0.16666666666527777,0.2158222198486328,0.015461206436157227
RUSBoost,1,1.0,0.9456066945606695,0.7894736842105263,0.625,0.6976744186046512,0.6737403711239276,0.6682327816337427,0.6249999999973959,0.981395348836753,0.018604651162782045,0.3749999999984375,0.2158222198486328,0.015461206436157227
RUSBoost,1,2.0,0.9790794979079498,1.0,0.8888888888888888,0.9411764705882353,0.930889358199063,0.9285073287466348,0.8888888888869135,0.9999999999994846,0.0,0.11111111111086419,0.2158222198486328,0.015461206436157227
RUSBoost,1,3.0,0.9414225941422594,0.7884615384615384,0.9318181818181818,0.8541666666666666,0.8223025612483492,0.8178353658536586,0.931818181816064,0.9435897435892597,0.05641025641022748,0.06818181818166322,0.2158222198486328,0.015461206436157227
RUSBoost,1,4.0,0.9623430962343096,0.981651376146789,0.9385964912280702,0.9596412556053812,0.9251971912179834,0.9243803831956408,0.9385964912272469,0.9839999999992128,0.015999999999987198,0.06140350877187596,0.2158222198486328,0.015461206436157227
RUSBoost,2,0.0,0.9623430962343096,0.5384615384615384,0.7,0.6086956521739131,0.5948703036368472,0.5892686652663739,0.699999999993,0.9737991266371294,0.026200873362433975,0.299999999997,0.19486546516418457,0.010219812393188477
RUSBoost,2,1.0,0.9748953974895398,0.8064516129032258,1.0,0.8928571428571429,0.8853478525518027,0.8788237282406625,0.9999999999960001,0.9719626168219758,0.028037383177556992,0.0,0.19486546516418457,0.010219812393188477
RUSBoost,2,2.0,0.9497907949790795,0.85,0.85,0.85,0.8198492462311557,0.8198492462311557,0.849999999997875,0.9698492462306685,0.030150753768829072,0.149999999999625,0.19486546516418457,0.010219812393188477
RUSBoost,2,3.0,0.9414225941422594,0.85,0.8095238095238095,0.8292682926829268,0.7942843562475922,0.7939401404113807,0.8095238095218821,0.9695431472076297,0.030456852791862714,0.19047619047573694,0.19486546516418457,0.010219812393188477
RUSBoost,2,4.0,0.9539748953974896,0.9826086956521739,0.9262295081967213,0.9535864978902954,0.909581661314841,0.9080222509883498,0.9262295081959621,0.9829059829051427,0.017094017094002482,0.07377049180321822,0.19486546516418457,0.010219812393188477
