Classifier,Fold,Training Time (s),Testing Time (s),Total Time (s)
RUSBoost,1,0.2158222198486328,0.015461206436157227,0.23128342628479004
RUSBoost,2,0.19486546516418457,0.010219812393188477,0.20508527755737305
