Classifier,Class,Fold,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Matthews Correlation Coefficient,Cohen Kappa Score,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RidgeClassifier,0.0,1.5,0.9518828451882846,0.0,0.0,0.0,0.4988986784140969,-0.007451766197170865,-0.0038923126824521592,0.0,0.9977973568277563,0.002202643171805197,0.9999999999908333,0.0,0.0
RidgeClassifier,1.0,1.5,0.9058577405857741,0.5833333333333333,0.38916666666666666,0.45534665099882493,0.677119738462653,0.42278797584602223,0.4069706156088408,0.3891666666650718,0.9650728102581896,0.03492718974134431,0.6108333333308449,0.0,0.0
RidgeClassifier,2.0,1.5,0.8179916317991631,0.4926072845293905,0.6166666666666667,0.5436978480456741,0.7397494344575108,0.4395626826585527,0.4326183031333409,0.6166666666651991,0.8628322022479159,0.13716779775157514,0.3833333333324398,0.0,0.0
RidgeClassifier,3.0,1.5,0.803347280334728,0.2909090909090909,0.046536796536796536,0.07855217558721601,0.5080009246252901,0.04247105550352888,0.02425311804351432,0.04653679653668819,0.9694650527132891,0.030534947286200785,0.9534632034609849,0.0,0.0
RidgeClassifier,4.0,1.5,0.8096234309623431,0.726813733105484,0.9871297095197009,0.836569454114128,0.8126417778367735,0.6650277329685106,0.6220309762141445,0.9871297095188636,0.6381538461533167,0.36184615384585594,0.012870290480288055,0.0,0.0
