Classifier,Class,Fold,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Matthews Correlation Coefficient,Cohen Kappa Score,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RidgeClassifier,0.0,1.5,0.8640167364016736,0.18620689655172415,0.5833333333333333,0.28205128205128205,0.7302235025553225,0.2749325745998418,0.2284042658935812,0.5833333333280555,0.8771136717769272,0.12288632822263426,0.41666666666277774,0.0016750097274780273,0.0017534494400024414
RidgeClassifier,1.0,1.5,0.8451882845188284,0.32386363636363635,0.4875,0.38866396761133604,0.6866374157791784,0.3127893777390053,0.30386946156060407,0.48749999999801874,0.885774831557944,0.11422516844158986,0.512499999997898,0.0016750097274780273,0.0017534494400024414
RidgeClassifier,2.0,1.5,0.7928870292887029,0.3321428571428572,0.19444444444444442,0.24474885844748856,0.557791822802443,0.1418006374690592,0.13598041078828527,0.19444444444399844,0.9211392011599726,0.07886079883951849,0.8055555555536404,0.0016750097274780273,0.0017534494400024414
RidgeClassifier,3.0,1.5,0.7970711297071129,0.35833333333333334,0.14015151515151514,0.20093201754385964,0.540692704081029,0.12459908925861918,0.10763591301085423,0.1401515151511876,0.9412338930100626,0.05876610698942722,0.8598484848464856,0.0016750097274780273,0.0017534494400024414
RidgeClassifier,4.0,1.5,0.8514644351464435,0.8258317639673571,0.884454989933851,0.8539011136455119,0.8510821958216264,0.7048230631282512,0.702461269921607,0.8844549899331016,0.8177094017087256,0.18229059829044708,0.11554501006604997,0.0016750097274780273,0.0017534494400024414
