Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Matthews Correlation Coefficient,Cohen Kappa Score,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RidgeClassifier,1,0.0,0.8493723849372385,0.2,0.6666666666666666,0.3076923076923077,0.762848751835536,0.30752677402272804,0.24973840251133594,0.6666666666611111,0.8590308370040269,0.1409691629955326,0.33333333333055554,0.0033500194549560547,0.003506898880004883
RidgeClassifier,1,1.0,0.8368200836820083,0.2727272727272727,0.375,0.3157894736842105,0.6316860465116279,0.22945843426127116,0.22576625965611763,0.3749999999984375,0.8883720930228427,0.11162790697669227,0.6249999999973959,0.0033500194549560547,0.003506898880004883
RidgeClassifier,1,2.0,0.803347280334728,0.4642857142857143,0.28888888888888886,0.3561643835616438,0.6057846506300115,0.2571813846856977,0.24747102565820323,0.2888888888882469,0.9226804123706585,0.07731958762882613,0.7111111111095308,0.0033500194549560547,0.003506898880004883
RidgeClassifier,1,3.0,0.7740585774058577,0.25,0.11363636363636363,0.15625,0.5183566433566433,0.0513842301970347,0.046542553191489255,0.11363636363610537,0.9230769230764497,0.07692307692303749,0.8863636363616219,0.0033500194549560547,0.003506898880004883
RidgeClassifier,1,4.0,0.8410041841004184,0.8220338983050848,0.8508771929824561,0.8362068965517241,0.8414385964912281,0.6822072831651312,0.6818245515695067,0.8508771929817097,0.8319999999993344,0.1679999999998656,0.14912280701741304,0.0033500194549560547,0.003506898880004883
RidgeClassifier,2,0.0,0.8786610878661087,0.1724137931034483,0.5,0.2564102564102564,0.6975982532751092,0.24233837517695547,0.20707012927582646,0.499999999995,0.8951965065498275,0.1048034934497359,0.499999999995,0.0,0.0
RidgeClassifier,2,1.0,0.8535564853556485,0.375,0.6,0.46153846153846156,0.741588785046729,0.39612032121673946,0.3819726634650905,0.5999999999976,0.8831775700930453,0.11682242990648747,0.3999999999984,0.0,0.0
RidgeClassifier,2,2.0,0.7824267782426778,0.2,0.1,0.13333333333333333,0.5097989949748744,0.026419890252420718,0.024489795918367308,0.09999999999975,0.9195979899492867,0.08040201005021086,0.8999999999977499,0.0,0.0
RidgeClassifier,2,3.0,0.8200836820083682,0.4666666666666667,0.16666666666666666,0.24561403508771928,0.5630287648054145,0.19781394832020366,0.1687292728302192,0.16666666666626984,0.9593908629436755,0.04060913705581695,0.8333333333313492,0.0,0.0
RidgeClassifier,2,4.0,0.8619246861924686,0.8296296296296296,0.9180327868852459,0.8715953307392996,0.8607257951520246,0.7274388430913711,0.7230979882737072,0.9180327868844934,0.8034188034181168,0.19658119658102857,0.08196721311468691,0.0,0.0
