Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Matthews Correlation Coefficient,Cohen Kappa,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RNN,1,0.0,0.8200836820083682,0.1702127659574468,0.6666666666666666,0.2711864406779661,0.27188596986311847,0.20781623371617963,0.6666666666611111,0.8281938325987541,0.17180616740080537,0.33333333333055554,5.696828365325928,0.9271767139434814
RNN,1,1.0,0.8075313807531381,0.28,0.5833333333333334,0.3783783783783784,0.30731868242722177,0.28077979850843904,0.5833333333309029,0.8325581395344965,0.16744186046503842,0.4166666666649306,5.696828365325928,0.9271767139434814
RNN,1,2.0,0.8117154811715481,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999994846,0.0,0.9999999999977778,5.696828365325928,0.9271767139434814
RNN,1,3.0,0.8158995815899581,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999994872,0.0,0.9999999999977273,5.696828365325928,0.9271767139434814
RNN,1,4.0,0.8661087866108786,0.7887323943661971,0.9824561403508771,0.875,0.7551760293222896,0.7345181893918356,0.9824561403500154,0.7599999999993919,0.239999999999808,0.01754385964910742,5.696828365325928,0.9271767139434814
RNN,2,0.0,0.8326359832635983,0.14285714285714285,0.6,0.23076923076923078,0.23294986094884101,0.17500862961684494,0.599999999994,0.8427947598249595,0.15720524017460386,0.399999999996,7.181319952011108,1.251490592956543
RNN,2,1.0,0.7698744769874477,0.27941176470588236,0.76,0.40860215053763443,0.36019844297044884,0.3018006055133584,0.7599999999969601,0.7710280373828173,0.22897196261671546,0.23999999999904,7.181319952011108,1.251490592956543
RNN,2,2.0,0.8326359832635983,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999994975,0.0,0.9999999999975,7.181319952011108,1.251490592956543
RNN,2,3.0,0.8242677824267782,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999994924,0.0,0.999999999997619,7.181319952011108,1.251490592956543
RNN,2,4.0,0.9037656903765691,0.8837209302325582,0.9344262295081968,0.9083665338645418,0.8086038583284864,0.8072107459755199,0.9344262295074308,0.8717948717941266,0.12820512820501861,0.06557377049174953,7.181319952011108,1.251490592956543
