Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Matthews Correlation Coefficient,Cohen Kappa Score,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
Ridor-like,1,0.0,0.9623430962343096,0.6,0.75,0.6666666666666666,0.861784140969163,0.6514985207426744,0.6469719350073855,0.74999999999375,0.9735682819378971,0.026431718061662366,0.24999999999791667,0.01599287986755371,0.0
Ridor-like,1,1.0,0.9539748953974896,1.0,0.5416666666666666,0.7027027027027027,0.7708333333333333,0.7178456379208596,0.6801314028470618,0.5416666666644098,0.9999999999995349,0.0,0.4583333333314236,0.01599287986755371,0.0
Ridor-like,1,2.0,0.9748953974895398,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9589347079037801,0.9178694158075601,0.9178694158075601,0.9333333333312592,0.9845360824737194,0.015463917525765225,0.06666666666651852,0.01599287986755371,0.0
Ridor-like,1,3.0,0.9707112970711297,0.8936170212765957,0.9545454545454546,0.9230769230769231,0.9644522144522145,0.9057641641217239,0.9050133424175325,0.9545454545432851,0.9743589743584747,0.025641025641012494,0.04545454545444215,0.01599287986755371,0.0
Ridor-like,1,4.0,0.9707112970711297,0.9495798319327731,0.9912280701754386,0.9699570815450643,0.9716140350877193,0.9422367634694256,0.9414113115041148,0.991228070174569,0.9519999999992383,0.0479999999999616,0.00877192982455371,0.01599287986755371,0.0
Ridor-like,2,0.0,0.9665271966527197,0.75,0.3,0.42857142857142855,0.6478165938864628,0.46143124718072154,0.4145744029393754,0.299999999997,0.995633187772491,0.004366812227072329,0.699999999993,0.0,0.015782833099365234
Ridor-like,2,1.0,0.9707112970711297,0.8214285714285714,0.92,0.8679245283018868,0.9483177570093458,0.8532427055344071,0.8515132688382001,0.9199999999963201,0.9766355140182352,0.023364485981297495,0.07999999999968001,0.0,0.015782833099365234
Ridor-like,2,2.0,0.9665271966527197,0.9444444444444444,0.85,0.8947368421052632,0.9199748743718592,0.8766183735613929,0.8749018581523161,0.849999999997875,0.9899497487432212,0.010050251256276357,0.149999999999625,0.0,0.015782833099365234
Ridor-like,2,3.0,0.9832635983263598,1.0,0.9047619047619048,0.95,0.9523809523809523,0.9416775948947931,0.9399799095931692,0.9047619047597505,0.9999999999994924,0.0,0.09523809523786847,0.0,0.015782833099365234
Ridor-like,2,4.0,0.9372384937238494,0.9022556390977443,0.9836065573770492,0.9411764705882353,0.936247723132969,0.8779246882558395,0.8741796230653143,0.9836065573762429,0.8888888888881291,0.11111111111101614,0.016393442622937383,0.0,0.015782833099365234
