Classifier,Class,Fold,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Matthews Correlation Coefficient,Cohen Kappa Score,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
Ridor-like,0.0,1.5,0.9644351464435146,0.675,0.525,0.5476190476190476,0.754800367427813,0.556464883961698,0.5307731689733804,0.5249999999953749,0.9846007348551941,0.015399265144367347,0.47499999999545833,0.007996439933776855,0.007891416549682617
Ridor-like,1.0,1.5,0.9623430962343096,0.9107142857142857,0.7308333333333333,0.7853136155022948,0.8595755451713396,0.7855441717276334,0.7658223358426309,0.7308333333303649,0.988317757008885,0.011682242990648748,0.26916666666555183,0.007996439933776855,0.007891416549682617
Ridor-like,2.0,1.5,0.9707112970711298,0.9388888888888889,0.8916666666666666,0.9140350877192982,0.9394547911378197,0.8972438946844765,0.8963856369799381,0.8916666666645672,0.9872429156084703,0.01275708439102079,0.10833333333307175,0.007996439933776855,0.007891416549682617
Ridor-like,3.0,1.5,0.9769874476987448,0.9468085106382979,0.9296536796536796,0.9365384615384615,0.9584165834165834,0.9237208795082585,0.9224966260053509,0.9296536796515178,0.9871794871789836,0.012820512820506247,0.07034632034615532,0.007996439933776855,0.007891416549682617
Ridor-like,4.0,1.5,0.9539748953974896,0.9259177355152587,0.9874173137762439,0.9555667760666497,0.9539308791103441,0.9100807258626326,0.9077954672847146,0.987417313775406,0.9204444444436837,0.07955555555548888,0.012582686223745546,0.007996439933776855,0.007891416549682617
