Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Matthews Correlation Coefficient,Cohen Kappa Score,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
Ridor-like,1,0,0.999954298249623,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,0.7995953559875488,0.09998297691345215
Ridor-like,1,1,0.9946528952058864,0.8812615955473099,0.8996212121212122,0.8903467666354264,0.9483119875994999,0.8876562563156065,0.8876066974383834,0.8996212121210416,0.9970027630777831,0.0029972369222123216,0.10037878787876886,0.7995953559875488,0.09998297691345215
Ridor-like,1,2,0.999954298249623,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,0.7995953559875488,0.09998297691345215
Ridor-like,1,3,0.9998628947488689,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999666667,0.7995953559875488,0.09998297691345215
Ridor-like,1,4,0.9994515789954755,0.96875,0.9393939393939394,0.9538461538461539,0.9696050114460156,0.9536845918641658,0.9535703701398413,0.9393939393932278,0.9998160834980874,0.00018391650190813287,0.0606060606060147,0.7995953559875488,0.09998297691345215
Ridor-like,1,5,0.9992687719939674,0.1,0.125,0.1111111111111111,0.5622942669044027,0.11144046732906025,0.11074986410903787,0.1249999999984375,0.9995885338088009,0.00041146619119462164,0.8749999999890625,0.7995953559875488,0.09998297691345215
Ridor-like,1,6,0.9877062291485764,0.9379888268156424,0.9861967694566813,0.9614889047959914,0.9870905908335583,0.9546042138115638,0.9541800131769685,0.9861967694566524,0.9879844122104299,0.012015587789564778,0.013803230543318244,0.7995953559875488,0.09998297691345215
Ridor-like,1,7,0.9992687719939674,0.9954545454545455,0.9358974358974359,0.9647577092511013,0.9679256200598649,0.9648571419333283,0.9643886174915426,0.935897435897036,0.9999538042222895,4.619577770591747e-05,0.06410256410253672,0.7995953559875488,0.09998297691345215
Ridor-like,1,8,0.9998628947488689,1.0,0.9984552008238929,0.9992270033496522,0.9992276004119465,0.9991521390421694,0.9991517796081967,0.9984552008238414,0.9999999999999951,0.0,0.0015447991761070264,0.7995953559875488,0.09998297691345215
Ridor-like,1,9,0.9998171929984918,1.0,0.9978869519281564,0.9989423585404548,0.9989434759640782,0.998842977987466,0.9988423086379458,0.9978869519281036,0.9999999999999951,0.0,0.0021130480718435226,0.7995953559875488,0.09998297691345215
Ridor-like,1,10,0.9990859649924592,0.9984840828701365,0.9914701455092825,0.9949647532729103,0.9956596503893959,0.9944695934457047,0.9944621212867063,0.9914701455092327,0.9998491552695044,0.00015084473049074745,0.008529854490717083,0.7995953559875488,0.09998297691345215
Ridor-like,1,11,0.9997714912481148,0.5,0.2,0.2857142857142857,0.5999771439019931,0.31613381267561264,0.28562100465565754,0.199999999996,0.9999542878039817,4.57121960138963e-05,0.799999999984,0.7995953559875488,0.09998297691345215
Ridor-like,1,12,0.9998171929984918,0.9993861264579497,0.9981606376456161,0.9987730061349693,0.9990556274647834,0.9986744650319828,0.9986742456200983,0.998160637645555,0.9999506172839457,4.9382716049382476e-05,0.0018393623543837008,0.7995953559875488,0.09998297691345215
