Classifier,Fold,Training Time (s),Testing Time (s),Total Time (s)
Ridor-like,1,0.7995953559875488,0.09998297691345215,0.899578332901001
Ridor-like,2,0.7824375629425049,0.08688521385192871,0.8693227767944336
