Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Matthews Correlation Coefficient,Cohen Kappa Score,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
Ridor-like,1,0.0,0.9414225941422594,0.4,0.3333333333333333,0.36363636363636365,0.6534508076358296,0.33472256018984864,0.33320047827819854,0.33333333333055554,0.9735682819378971,0.026431718061662366,0.6666666666611111,0.026926279067993164,0.0
Ridor-like,1,1.0,0.9497907949790795,0.9285714285714286,0.5416666666666666,0.6842105263157895,0.7685077519379845,0.687315911570881,0.6589774078478002,0.5416666666644098,0.9953488372088394,0.004651162790695511,0.4583333333314236,0.026926279067993164,0.0
Ridor-like,1,2.0,0.8828451882845189,0.6307692307692307,0.9111111111111111,0.7454545454545455,0.8936998854524627,0.6917849403122581,0.6726027397260275,0.9111111111090864,0.8762886597933628,0.1237113402061218,0.08888888888869136,0.026926279067993164,0.0
Ridor-like,1,3.0,0.9456066945606695,0.8297872340425532,0.8863636363636364,0.8571428571428571,0.9226689976689977,0.8242794833594559,0.8235962073468461,0.8863636363616219,0.9589743589738673,0.04102564102561999,0.11363636363610537,0.026926279067993164,0.0
Ridor-like,1,4.0,0.9456066945606695,0.9902912621359223,0.8947368421052632,0.9400921658986175,0.9433684210526316,0.8943636064167256,0.8905176362803482,0.8947368421044782,0.9919999999992064,0.007999999999993599,0.10526315789464451,0.026926279067993164,0.0
Ridor-like,2,0.0,0.9790794979079498,0.7272727272727273,0.8,0.7619047619047619,0.8934497816593887,0.7519228442840096,0.7509897895394874,0.799999999992,0.9868995633183464,0.013100436681216987,0.199999999998,0.015711069107055664,0.0
Ridor-like,2,1.0,0.9539748953974896,0.7058823529411765,0.96,0.8135593220338984,0.9566355140186915,0.8001293154981028,0.788000967663898,0.95999999999616,0.9532710280369378,0.04672897196259499,0.039999999999840004,0.015711069107055664,0.0
Ridor-like,2,2.0,0.9330543933054394,0.7727272727272727,0.85,0.8095238095238095,0.8998743718592965,0.7703116330082593,0.7690263348634936,0.849999999997875,0.9497487437181158,0.05025125628138179,0.149999999999625,0.015711069107055664,0.0
Ridor-like,2,3.0,0.9623430962343096,1.0,0.7857142857142857,0.88,0.8928571428571428,0.8668257971195892,0.8580479113046922,0.785714285712415,0.9999999999994924,0.0,0.21428571428520407,0.015711069107055664,0.0
Ridor-like,2,4.0,0.9790794979079498,1.0,0.9590163934426229,0.9790794979079498,0.9795081967213115,0.9590163934426229,0.9581773002484864,0.9590163934418369,0.9999999999991452,0.0,0.040983606557343455,0.015711069107055664,0.0
