Classifier,Class,Fold,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Matthews Correlation Coefficient,Cohen Kappa Score,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
Ridor-like,0.0,1.5,0.9602510460251046,0.5636363636363637,0.5666666666666667,0.5627705627705628,0.7734502946476092,0.5433227022369291,0.5420951339088429,0.5666666666612777,0.9802339226281218,0.019766077371439678,0.43333333332955554,0.021318674087524414,0.0
Ridor-like,1.0,1.5,0.9518828451882846,0.8172268907563025,0.7508333333333332,0.7488849241748439,0.8625716329783379,0.7437226135344919,0.7234891877558491,0.7508333333302849,0.9743099326228886,0.02569006737664525,0.2491666666656318,0.021318674087524414,0.0
Ridor-like,2.0,1.5,0.9079497907949792,0.7017482517482517,0.8805555555555555,0.7774891774891775,0.8967871286558796,0.7310482866602588,0.7208145372947605,0.8805555555534808,0.9130187017557393,0.0869812982437518,0.11944444444415817,0.021318674087524414,0.0
Ridor-like,3.0,1.5,0.9539748953974896,0.9148936170212766,0.836038961038961,0.8685714285714285,0.9077630702630702,0.8455526402395226,0.8408220593257691,0.8360389610370185,0.9794871794866798,0.020512820512809993,0.16396103896065473,0.021318674087524414,0.0
Ridor-like,4.0,1.5,0.9623430962343096,0.9951456310679612,0.926876617773943,0.9595858319032837,0.9614383088869716,0.9266899999296743,0.9243474682644173,0.9268766177731576,0.9959999999991758,0.0039999999999967995,0.07312338222599399,0.021318674087524414,0.0
