Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Matthews Correlation Coefficient,Cohen Kappa,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RotationForest,1,0.0,0.9581589958158996,0.6,0.5,0.5454545454545454,0.5261069905376329,0.5237146273415704,0.49999999999583333,0.982378854625118,0.017621145374441576,0.49999999999583333,0.04225444793701172,0.0026106834411621094
RotationForest,1,1.0,0.9581589958158996,0.8181818181818182,0.75,0.782608695652174,0.760389021126869,0.7595089555242504,0.749999999996875,0.981395348836753,0.018604651162782045,0.24999999999895836,0.04225444793701172,0.0026106834411621094
RotationForest,1,2.0,0.9372384937238494,0.8571428571428571,0.8,0.8275862068965517,0.7899806556123454,0.7892787868100863,0.7999999999982222,0.9690721649479541,0.03092783505153045,0.19999999999955556,0.04225444793701172,0.0026106834411621094
RotationForest,1,3.0,0.9288702928870293,0.7647058823529411,0.8863636363636364,0.8210526315789474,0.780263944665916,0.7769665696876544,0.8863636363616219,0.9384615384610573,0.061538461538429984,0.11363636363610537,0.04225444793701172,0.0026106834411621094
RotationForest,1,4.0,0.9330543933054394,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8658245614035087,0.8658245614035087,0.9298245614026931,0.9359999999992512,0.06399999999994879,0.07017543859642968,0.04225444793701172,0.0026106834411621094
RotationForest,2,0.0,0.9748953974895398,0.8333333333333334,0.5,0.625,0.6343435592487895,0.6128509719222461,0.499999999995,0.995633187772491,0.004366812227072329,0.499999999995,0.05584573745727539,0.0
RotationForest,2,1.0,0.9623430962343096,0.7666666666666667,0.92,0.8363636363636363,0.8196124944138355,0.8152855302705024,0.9199999999963201,0.9672897196257163,0.03271028037381649,0.07999999999968001,0.05584573745727539,0.0
RotationForest,2,2.0,0.9372384937238494,0.7906976744186046,0.85,0.8192771084337349,0.78211053704026,0.7813624443495761,0.849999999997875,0.954773869346254,0.04522613065324361,0.149999999999625,0.05584573745727539,0.0
RotationForest,2,3.0,0.9623430962343096,0.9714285714285714,0.8095238095238095,0.8831168831168831,0.8659771827102564,0.8608937463622841,0.8095238095218821,0.9949238578675154,0.005076142131977119,0.19047619047573694,0.05584573745727539,0.0
RotationForest,2,4.0,0.9623430962343096,0.952,0.9754098360655737,0.9635627530364372,0.924905670261983,0.9246136052991273,0.9754098360647743,0.9487179487171379,0.05128205128200745,0.02459016393440607,0.05584573745727539,0.0
