Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Matthews Correlation Coefficient,Cohen Kappa,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RNN,1,0.0,0.9497907949790795,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999995596,0.0,0.9999999999916667,3.887227773666382,0.44332146644592285
RNN,1,1.0,0.899581589958159,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999995349,0.0,0.9999999999958334,3.887227773666382,0.44332146644592285
RNN,1,2.0,0.7531380753138075,0.26666666666666666,0.17777777777777778,0.21333333333333335,0.07596183078730352,0.07382594417077182,0.1777777777773827,0.886597938143873,0.11340206185561165,0.822222222220395,3.887227773666382,0.44332146644592285
RNN,1,3.0,0.8158995815899581,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999994872,0.0,0.9999999999977273,3.887227773666382,0.44332146644592285
RNN,1,4.0,0.5941422594142259,0.5406698564593302,0.9912280701754386,0.6996904024767802,0.3365289779304793,0.21533254357759357,0.991228070174569,0.2319999999998144,0.7679999999993856,0.00877192982455371,3.887227773666382,0.44332146644592285
RNN,2,0.0,0.9581589958158996,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999995633,0.0,0.99999999999,3.382158041000366,0.4148750305175781
RNN,2,1.0,0.895397489539749,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999995328,0.0,0.9999999999960001,3.382158041000366,0.4148750305175781
RNN,2,2.0,0.7447698744769874,0.3018867924528302,0.4,0.34408602150537637,0.19236171911170097,0.189470172902652,0.399999999999,0.8140703517583849,0.1859296482411126,0.5999999999985,3.382158041000366,0.4148750305175781
RNN,2,3.0,0.8242677824267782,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999994924,0.0,0.999999999997619,3.382158041000366,0.4148750305175781
RNN,2,4.0,0.7238493723849372,0.6505376344086021,0.9918032786885246,0.7857142857142857,0.5249423517943128,0.4411931415615701,0.9918032786877117,0.44444444444406456,0.5555555555550807,0.008196721311468692,3.382158041000366,0.4148750305175781
