Classifier,Fold,Class,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,Matthews Correlation Coefficient,Cohen Kappa Score,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RidgeClassifier,1,0,0.9969379827247383,0.014705882352941176,1.0,0.028985507246376812,0.9984689213893967,0.12108199960811641,0.02889803153439907,0.9999999999,0.9969378427787889,0.0030621572212065676,0.0,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,1,0.9830446506101184,0.7854545454545454,0.4090909090909091,0.5379825653798257,0.7031639156516223,0.559718225655825,0.5302181250359157,0.40909090909083157,0.997236922212331,0.002763077787664484,0.5909090909089789,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,2,0.9956583337141812,0.0,0.0,0.0,0.49785191956124314,-0.00044405989434957726,-9.044953902015429e-05,0.0,0.9957038391224818,0.004296160877513692,0.9999999999,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,3,0.9982176317352954,0.0,0.0,0.0,0.49917725569064814,-0.000475370299631859,-0.000253181471336017,0.0,0.9983545113812918,0.0016454886187037133,0.9999999999666667,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,4,0.9982176317352954,0.918918918918919,0.7727272727272727,0.8395061728395061,0.8861567302989897,0.8418011457482341,0.8386167424924529,0.7727272727266874,0.9995861878707022,0.000413812129293299,0.22727272727255513,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,5,0.9984918422375577,0.12121212121212122,0.5,0.1951219512195122,0.7493370822475198,0.2456706218707445,0.19464796178422084,0.49999999999375,0.9986741644950351,0.0013258355049604476,0.49999999999375,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,6,0.9996800877473607,0.998825601879037,0.9991189427312775,0.998972250770812,0.9994512228269941,0.9987828258058213,0.9987828107063673,0.9991189427312481,0.9997835029227052,0.00021649707728945545,0.0008810572687224411,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,7,0.9996343859969837,0.9956140350877193,0.9700854700854701,0.9826839826839827,0.9850196371538821,0.9825839002227559,0.9824992566723033,0.9700854700850555,0.9999538042222895,4.619577770591747e-05,0.02991452991451713,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,8,0.9977606142315251,0.9901605385810461,0.984552008238929,0.9873483088045443,0.9917995509372588,0.9861246980306848,0.9861199108412159,0.9845520082388782,0.9990470936355836,0.0009529063644114502,0.015447991761070265,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,9,0.999954298249623,1.0,0.9994717379820391,0.9997357992073976,0.9997358689910196,0.9997108266366538,0.9997107848260386,0.9994717379819863,0.9999999999999951,0.0,0.0005282620179608807,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,10,0.9498194780860107,0.6492164054684895,0.9769192172604114,0.7800480769230769,0.9620114992174945,0.7730716660544533,0.7530186961548497,0.9769192172603623,0.947103781174573,0.05289621882542211,0.023080782739587403,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,11,0.9994515789954755,0.0,0.0,0.0,0.49984000731395134,-0.00027044936179571727,-0.00026666463493607573,0.0,0.9996800146278982,0.0003199853720972741,0.99999999998,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,12,0.9550751793793703,0.7134387351778656,0.6640098099325568,0.6878374087011749,0.8212641642255376,0.6641635049754422,0.6636669167361737,0.664009809932516,0.9785185185185138,0.021481481481481376,0.3359901900674227,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,13,0.9441981627896349,0.6360479797979798,0.9673547767642823,0.7674728623119406,0.9545582854424502,0.75824677808766,0.7372969531346463,0.9673547767642359,0.9417617941206136,0.058238205879381465,0.03264522323571615,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,14,0.9449750925460445,0.6738302502720348,0.9979854955680902,0.8044819746670997,0.9680890929564767,0.7940831569434732,0.7738563608798943,0.99798549556805,0.9381926903448584,0.06180730965513655,0.002014504431909669,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,15,0.9989031579909511,0.8830409356725146,0.9741935483870968,0.9263803680981595,0.9866364961856317,0.9269630905950526,0.9258291719607762,0.9741935483864683,0.9990794439841619,0.0009205560158335593,0.02580645161288658,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,16,0.9959325442164435,0.3181818181818182,0.08641975308641975,0.13592233009708737,0.5428658398459622,0.16428034396239677,0.134553739946911,0.08641975308631306,0.9993119266055001,0.0006880733944954097,0.9135802469124523,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,17,0.9998171929984918,1.0,0.42857142857142855,0.6,0.7142857142857143,0.6545938221298289,0.599923206319023,0.4285714285653061,0.9999999999999956,0.0,0.5714285714204081,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,18,0.9983547369864266,0.32432432432432434,0.5217391304347826,0.4,0.7602976922189468,0.41058444890569806,0.39922114649798124,0.5217391304325142,0.9988562540031065,0.0011437459968890059,0.478260869563138,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,19,0.9567661441433207,0.5,0.0010570824524312897,0.002109704641350211,0.5005046577774456,0.021472384987066863,0.0019276349503583035,0.0010570824524311778,0.9999522331024553,4.7766897540004554e-05,0.9989429175474631,0.18034720420837402,0.00905466079711914
RidgeClassifier,1,20,0.9425071980256844,0.43243243243243246,0.0781758957654723,0.13241379310344828,0.5360375435831186,0.16553134518112966,0.11724374449566088,0.07817589576546595,0.9938991914007603,0.006100808599234949,0.9218241042344526,0.18034720420837402,0.00905466079711914
