Classifier,Class,Fold,Accuracy,Precision,Recall,F1 Score,Matthews Correlation Coefficient,Cohen Kappa,True Positive Rate (TPR),True Negative Rate (TNR),False Positive Rate (FPR),False Negative Rate (FNR),Training Time (s),Testing Time (s)
RNN,0,1.5,0.9999542972052502,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,14.630804419517517,1.1510717868804932
RNN,1,1.5,0.9865405410452266,0.6411801495845594,0.976461038961039,0.7739637886823103,0.7854795194092455,0.7673365089411583,0.9764610389608497,0.9867766351546148,0.013223364845380597,0.02353896103895642,14.630804419517517,1.1510717868804932
RNN,2,1.5,0.9999542972052502,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,14.630804419517517,1.1510717868804932
RNN,3,1.5,0.9999085954548732,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999333333,14.630804419517517,1.1510717868804932
RNN,4,1.5,0.9988802716070899,0.8767044730470244,0.9700365726227795,0.9189030821516466,0.9206024847323542,0.9183431900612229,0.9700365726220785,0.9990569392606823,0.0009430607393132364,0.02996342737719802,14.630804419517517,1.1510717868804932
RNN,5,1.5,0.9995886738028794,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.99999999998875,14.630804419517517,1.1510717868804932
RNN,6,1.5,0.9990174050562846,0.9949113114277406,0.9988121101260439,0.9968488931361905,0.9962758497537756,0.9962668556925955,0.9988121101260142,0.9990528252868534,0.0009471747131413675,0.001187889873956188,14.630804419517517,1.1510717868804932
RNN,7,1.5,0.9996572295615631,0.9978070175438596,0.9697588922479752,0.9835814591912153,0.983511156327113,0.9834083012452983,0.9697588922475563,0.9999769021111424,2.3097888852958734e-05,0.03024110775201172,14.630804419517517,1.1510717868804932
RNN,8,1.5,0.9995658229276909,0.9973821264943323,0.9976389304747145,0.9975104954338181,0.9972726808338868,0.9972726609362343,0.9976389304746622,0.9997496300823753,0.00025036991761980204,0.0023610695252853373,14.630804419517517,1.1510717868804932
RNN,9,1.5,0.9997714849818784,0.999482669425763,0.997909884232812,0.9986955846476835,0.9985707716366923,0.9985703566702541,0.9979098842327598,0.9999498621208274,5.013787916771096e-05,0.0020901157671878575,14.630804419517517,1.1510717868804932
RNN,10,1.5,0.9541600655348061,0.673195770785998,0.9588769664263249,0.7908645484416663,0.7812465481668833,0.7660161831779319,0.9588769664262764,0.9537024467250516,0.04629755327494353,0.04112303357367296,14.630804419517517,1.1510717868804932
RNN,11,1.5,0.9996343745088838,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999854545,14.630804419517517,1.1510717868804932
RNN,12,1.5,0.9651058018497429,0.8569149634863098,0.6778069656159045,0.7508533501896334,0.7415183279825526,0.7324293055782908,0.6778069656158643,0.9889345200877757,0.011065479912219348,0.3221930343840763,14.630804419517517,1.1510717868804932
RNN,13,1.5,0.9474646661553975,0.6526590645214073,0.9541248827415292,0.7749491027963202,0.7637733825713422,0.7463990909885501,0.9541248827414832,0.9467585813792179,0.05324141862077713,0.04587511725846858,14.630804419517517,1.1510717868804932
RNN,14,1.5,0.9505038743303795,0.7047031712523324,0.9801250051765414,0.8198980204125086,0.8065862877176173,0.7920922094651024,0.9801250051765025,0.9466563556479957,0.053343644351999286,0.01987499482345781,14.630804419517517,1.1510717868804932
RNN,15,1.5,0.9988574395306105,0.8659584411849295,0.9866993922393641,0.9221179351152826,0.9236780418776012,0.921545550689138,0.9866993922386882,0.998941614621714,0.0010583853782814936,0.013300607760626942,14.630804419517517,1.1510717868804932
RNN,16,1.5,0.9962752258831988,0.3055555555555555,0.032146865480198815,0.05800588078053996,0.09774156493446637,0.05742204808498058,0.03214686548015746,0.9997706579811587,0.00022934201883673003,0.9678531345185759,14.630804419517517,1.1510717868804932
RNN,17,1.5,0.9997943400345579,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999678572,14.630804419517517,1.1510717868804932
RNN,18,1.5,0.9987660172311473,0.5833333333333333,0.1745524296675192,0.2625,0.3131284240341058,0.2621169013900855,0.17455242966682233,0.9998627127848128,0.00013728721518274406,0.8254475703295332,14.630804419517517,1.1510717868804932
RNN,19,1.5,0.962477925093745,0.6630227788764373,0.30187349581820844,0.37165637083945835,0.40310071075592707,0.3581275565118441,0.3018734958181765,0.9925001245760459,0.007499875423949442,0.6981265041817182,14.630804419517517,1.1510717868804932
RNN,20,1.5,0.9471675974673377,0.6181047765793528,0.12887570618404315,0.21029029941121913,0.26257055756658176,0.19531569658751052,0.1288757061840325,0.9952830628366212,0.004716937163374117,0.8711242938158852,14.630804419517517,1.1510717868804932
RNN,21,1.5,0.950069690991834,0.897225935828877,0.3167109484986247,0.46816078473184775,0.516208776547066,0.44818266110931015,0.3167109484986038,0.9972990338652409,0.002700966134754283,0.6832890515013303,14.630804419517517,1.1510717868804932
RNN,22,1.5,0.9940814854689739,0.6911337209302326,0.25857426303854875,0.35829487490891426,0.40751485342553495,0.35602140757204953,0.25857426303837044,0.9990108448626587,0.0009891551373367353,0.7414257369609423,14.630804419517517,1.1510717868804932
RNN,23,1.5,0.9834555778568586,0.5705924327630438,0.997920997920998,0.7260092153221924,0.748135097765707,0.7181322060771064,0.9979209979207903,0.9831308411214907,0.016869158878504598,0.0020790020790016467,14.630804419517517,1.1510717868804932
RNN,24,1.5,0.9832499116251802,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999954,0.0,0.9999999999997269,14.630804419517517,1.1510717868804932
RNN,25,1.5,0.999862890571378,0.9963503649635037,0.9964786555377568,0.9964089018770372,0.9963419275571967,0.9963390123832356,0.9964786555375205,0.9999301383261097,6.986167388570599e-05,0.003521344462242379,14.630804419517517,1.1510717868804932
RNN,26,1.5,0.9973720877353296,0.5031347962382445,0.27054169202678024,0.35024278047533863,0.36682000184686675,0.34904989395701924,0.2705416920263052,0.9992897663921756,0.000710233607819919,0.729458307971945,14.630804419517517,1.1510717868804932
RNN,27,1.5,0.9982175868272684,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999974086,14.630804419517517,1.1510717868804932
RNN,28,1.5,0.9999771491248115,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.49999999995,14.630804419517517,1.1510717868804932
RNN,29,1.5,0.9981947411739434,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999954,0.0,0.9999999999974647,14.630804419517517,1.1510717868804932
RNN,30,1.5,0.9999542972052502,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999,14.630804419517517,1.1510717868804932
RNN,31,1.5,0.9999542961608775,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.499999999975,14.630804419517517,1.1510717868804932
RNN,32,1.5,0.9991316468997545,0.19047619047619047,0.2857142857142857,0.22857142857142856,0.2330793324498623,0.2283628589201424,0.2857142857122449,0.9997027348394724,0.00029726516052318535,0.7142857142815522,14.630804419517517,1.1510717868804932
RNN,33,1.5,0.9998857435353119,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999956,0.0,0.9999999999583333,14.630804419517517,1.1510717868804932
